product_category,revenue_current_quarter,revenue_previous_quarter,market_share_percent,customer_acquisition_cost,customer_lifetime_value,conversion_rate_percent,average_order_value,gross_margin_percent,units_sold,inventory_turnover,price_elasticity,brand_awareness_percent,customer_satisfaction_score,repeat_purchase_rate_percent,geographic_coverage_percent,distribution_channels,seasonal_factor,competitive_pressure_score,innovation_score,regulatory_compliance_score
Software Solutions,2450000,2180000,15.2,180,2400,3.2,850,68,2882,4.2,-0.8,72,4.3,65,85,12,1.15,7.2,8.1,9.2
Hardware Products,1890000,2100000,12.8,220,1800,2.8,1200,45,1575,3.1,-1.2,68,4.1,58,78,8,0.95,8.1,6.8,8.8
Consulting Services,980000,850000,8.5,320,3200,4.1,2500,72,392,2.8,-0.6,45,4.6,78,92,15,1.05,6.5,9.2,9.5
Cloud Services,3200000,2800000,22.1,150,2800,5.2,650,78,4923,5.8,-0.9,81,4.5,72,95,18,1.25,8.8,9.5,9.1
Mobile Apps,750000,680000,6.3,95,1200,2.9,45,85,16667,8.2,-1.5,52,4.2,45,68,22,1.35,9.2,8.8,8.5
Enterprise Software,4100000,3900000,28.4,450,5200,1.8,8500,62,482,2.1,-0.4,89,4.7,85,88,6,0.88,5.2,9.8,9.6
Training Programs,420000,380000,4.2,125,980,6.8,280,81,1500,6.5,-1.1,38,4.4,68,75,25,1.45,4.8,7.2,8.9
Support Services,680000,720000,7.8,85,1500,8.2,180,75,3778,7.2,-1.3,42,4.8,82,95,28,1.12,3.5,6.8,9.2
Data Analytics,1850000,1650000,11.2,195,2650,4.5,1250,71,1480,4.8,-0.7,65,4.4,71,82,14,1.18,7.8,9.1,8.8
Security Solutions,2200000,1980000,13.5,280,3800,3.8,1850,69,1189,3.5,-0.5,78,4.6,76,89,11,1.08,8.5,9.4,9.8
IoT Platforms,1450000,1280000,9.8,165,2200,4.2,980,73,1480,5.2,-0.8,58,4.3,62,72,16,1.22,8.2,8.9,8.6
AI Solutions,3800000,3200000,18.9,380,4200,2.5,3200,66,1188,2.8,-0.3,85,4.8,88,91,8,0.92,6.8,9.9,9.3
Blockchain Services,950000,820000,5.1,420,3500,2.1,2800,64,339,2.2,-0.4,35,4.2,72,65,9,1.05,7.5,9.6,8.2
DevOps Tools,1280000,1150000,8.8,145,1950,5.8,850,76,1506,6.1,-1.0,48,4.5,65,78,19,1.28,6.2,8.5,8.9
CRM Solutions,2850000,2650000,16.8,225,2950,3.9,1450,67,1966,4.2,-0.6,74,4.4,69,86,13,1.12,7.1,8.2,9.1
