channel,monthly_budget,cost_per_lead,leads_generated,conversion_to_customer_percent,customer_acquisition_cost,return_on_ad_spend,reach,engagement_rate_percent,click_through_rate_percent,cost_per_click,impression_share_percent,quality_score,brand_lift_percent,assisted_conversions,attribution_weight,seasonal_multiplier,audience_overlap_percent,frequency_cap,creative_rotation_score,landing_page_conversion_percent,mobile_traffic_percent,demographic_match_score
Digital Advertising,85000,45,1888,3.2,180,4.2,450000,2.8,1.8,2.85,68,7.2,12,285,0.35,1.15,25,3.2,8.1,4.2,72,8.5
Social Media Marketing,32000,28,1142,4.1,125,5.8,280000,4.2,2.5,1.95,52,8.1,18,195,0.28,1.25,35,2.8,7.8,5.8,85,9.2
Content Marketing,18000,22,818,5.2,95,6.8,180000,6.1,3.2,1.45,45,8.8,22,142,0.42,1.05,18,0,9.2,7.2,68,8.8
Email Marketing,8500,12,708,8.5,65,12.2,95000,8.8,12.5,0.85,78,9.5,8,98,0.18,1.08,45,4.5,8.5,15.2,45,9.5
SEO/Organic,15000,18,833,6.2,85,8.5,220000,5.2,4.8,0,85,9.2,15,168,0.52,0.98,12,0,9.8,6.8,58,9.1
Trade Shows,45000,180,250,12.8,450,3.2,15000,18.5,0,0,100,0,35,45,0.65,2.15,8,0,6.5,25.8,15,7.2
Direct Sales,120000,320,375,15.2,850,2.8,8500,25.2,0,0,100,0,28,68,0.78,1.12,5,0,8.2,35.2,8,8.8
Partnerships,25000,95,263,9.8,220,4.8,35000,12.8,0,0,65,0,18,52,0.45,1.18,22,0,7.5,18.5,25,8.5
Webinars,12000,35,342,7.2,125,6.2,28000,15.2,8.5,2.25,42,7.8,25,78,0.38,1.35,28,1.5,8.8,12.8,52,9.2
Referral Program,8000,22,363,11.5,85,9.8,18000,22.5,0,0,95,0,42,125,0.25,1.05,65,0,9.5,28.5,35,9.8
Influencer Marketing,22000,65,338,6.8,185,5.2,125000,8.5,3.8,4.25,35,6.8,32,85,0.32,1.28,42,2.2,7.2,8.2,88,8.2
Podcast Advertising,15000,85,176,4.5,295,3.8,85000,12.2,0,0,25,0,28,38,0.22,1.15,15,8.5,6.8,6.5,65,7.8
Video Marketing,38000,52,731,5.8,165,4.5,195000,6.8,2.2,3.85,48,7.5,22,142,0.35,1.22,32,2.8,8.2,7.8,78,8.8
Affiliate Marketing,28000,42,667,7.2,125,6.8,0,0,0,0,0,0,15,185,0.28,1.08,55,0,8.5,15.2,42,8.5
PR & Media,35000,125,280,3.8,485,2.2,350000,1.8,0,0,15,0,45,28,0.15,1.35,8,0,7.8,2.5,25,7.2
Retargeting Ads,18000,38,474,8.2,145,7.2,85000,5.8,4.2,2.15,72,8.2,18,125,0.42,1.12,85,4.2,8.8,9.5,68,9.2
LinkedIn Ads,25000,75,333,6.5,285,3.5,65000,4.2,1.8,5.85,38,6.5,12,68,0.28,1.05,25,2.5,7.2,5.8,22,8.8
Google Ads,45000,35,1286,4.2,195,5.8,285000,3.2,2.5,2.45,65,8.5,15,285,0.38,1.18,28,3.8,8.5,6.2,58,8.5
Facebook Ads,32000,42,762,5.8,165,4.8,195000,4.8,2.8,2.85,52,7.8,18,168,0.32,1.25,38,3.2,7.8,7.2,82,8.2
YouTube Ads,28000,48,583,4.5,225,4.2,165000,6.2,1.8,4.25,42,7.2,25,125,0.28,1.32,22,5.2,8.2,5.8,75,8.5
